dim,id,mode,freq,size,len,attr_ratio,score,TP,FP,FN,Precision,Recall,F1,Transition_Accuracy,filename
7,000,async,5,5,20,0.3,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.015625,7d_000_async_f5_s5_l20_at0.3_scrMDL.bif
7,000,sync,1,10,10,0.3,BDE,12,0,37,1.0,0.24489795918367346,0.39344262295081966,0.0234375,7d_000_sync_f1_s10_l10_at0.3_scrBDE.bif
7,000,async,3,5,20,0.7,BDE,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0078125,7d_000_async_f3_s5_l20_at0.7_scrBDE.bif
7,000,async,1,1,20,0.3,BDE,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.0546875,7d_000_async_f1_s1_l20_at0.3_scrBDE.bif
7,000,async,5,10,10,0.7,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.015625,7d_000_async_f5_s10_l10_at0.7_scrMDL.bif
7,000,async,3,10,50,0.3,BDE,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.015625,7d_000_async_f3_s10_l50_at0.3_scrBDE.bif
7,000,async,3,1,10,0.5,MDL,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.046875,7d_000_async_f3_s1_l10_at0.5_scrMDL.bif
7,000,sync,1,5,20,0.5,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0078125,7d_000_sync_f1_s5_l20_at0.5_scrMDL.bif
7,000,async,1,10,50,0.5,BDE,18,0,31,1.0,0.3673469387755102,0.5373134328358209,0.0625,7d_000_async_f1_s10_l50_at0.5_scrBDE.bif
7,000,async,1,10,100,0.5,BDE,17,0,32,1.0,0.3469387755102041,0.5151515151515151,0.0546875,7d_000_async_f1_s10_l100_at0.5_scrBDE.bif
7,000,sync,1,1,10,0.7,BDE,1,0,48,1.0,0.02040816326530612,0.039999999999999994,0.0390625,7d_000_sync_f1_s1_l10_at0.7_scrBDE.bif
7,000,async,1,10,10,0.7,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0546875,7d_000_async_f1_s10_l10_at0.7_scrMDL.bif
7,000,async,3,10,100,0.7,BDE,12,0,37,1.0,0.24489795918367346,0.39344262295081966,0.0078125,7d_000_async_f3_s10_l100_at0.7_scrBDE.bif
7,000,async,3,1,50,0.7,BDE,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.015625,7d_000_async_f3_s1_l50_at0.7_scrBDE.bif
7,000,async,1,5,50,0.3,BDE,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.046875,7d_000_async_f1_s5_l50_at0.3_scrBDE.bif
7,000,async,1,1,100,0.3,MDL,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.0546875,7d_000_async_f1_s1_l100_at0.3_scrMDL.bif
7,000,sync,1,1,10,0.7,MDL,1,0,48,1.0,0.02040816326530612,0.039999999999999994,0.0390625,7d_000_sync_f1_s1_l10_at0.7_scrMDL.bif
7,000,async,1,10,100,0.5,MDL,19,0,30,1.0,0.3877551020408163,0.5588235294117647,0.0546875,7d_000_async_f1_s10_l100_at0.5_scrMDL.bif
7,000,async,1,10,50,0.5,MDL,19,0,30,1.0,0.3877551020408163,0.5588235294117647,0.0625,7d_000_async_f1_s10_l50_at0.5_scrMDL.bif
7,000,sync,1,5,20,0.5,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.015625,7d_000_sync_f1_s5_l20_at0.5_scrBDE.bif
7,000,async,3,10,50,0.3,MDL,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.015625,7d_000_async_f3_s10_l50_at0.3_scrMDL.bif
7,000,async,3,1,10,0.5,BDE,1,0,48,1.0,0.02040816326530612,0.039999999999999994,0.046875,7d_000_async_f3_s1_l10_at0.5_scrBDE.bif
7,000,async,5,10,10,0.7,BDE,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.015625,7d_000_async_f5_s10_l10_at0.7_scrBDE.bif
7,000,async,3,5,20,0.7,MDL,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.0078125,7d_000_async_f3_s5_l20_at0.7_scrMDL.bif
7,000,sync,1,10,10,0.3,MDL,14,0,35,1.0,0.2857142857142857,0.4444444444444445,0.0078125,7d_000_sync_f1_s10_l10_at0.3_scrMDL.bif
7,000,async,1,1,20,0.3,MDL,4,0,45,1.0,0.08163265306122448,0.15094339622641506,0.1015625,7d_000_async_f1_s1_l20_at0.3_scrMDL.bif
7,000,async,5,5,20,0.3,BDE,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.015625,7d_000_async_f5_s5_l20_at0.3_scrBDE.bif
7,000,async,1,1,100,0.3,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.0546875,7d_000_async_f1_s1_l100_at0.3_scrBDE.bif
7,000,async,3,1,50,0.7,MDL,7,0,42,1.0,0.14285714285714285,0.25,0.015625,7d_000_async_f3_s1_l50_at0.7_scrMDL.bif
7,000,async,1,5,50,0.3,MDL,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.03125,7d_000_async_f1_s5_l50_at0.3_scrMDL.bif
7,000,async,3,10,100,0.7,MDL,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.015625,7d_000_async_f3_s10_l100_at0.7_scrMDL.bif
7,000,async,1,10,10,0.7,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.0546875,7d_000_async_f1_s10_l10_at0.7_scrBDE.bif
7,000,async,5,5,10,0.3,MDL,2,0,47,1.0,0.04081632653061224,0.07843137254901959,0.0,7d_000_async_f5_s5_l10_at0.3_scrMDL.bif
7,000,async,3,5,10,0.7,BDE,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.015625,7d_000_async_f3_s5_l10_at0.7_scrBDE.bif
7,000,async,1,1,10,0.3,BDE,2,0,47,1.0,0.04081632653061224,0.07843137254901959,0.0546875,7d_000_async_f1_s1_l10_at0.3_scrBDE.bif
7,000,async,3,1,20,0.5,MDL,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.046875,7d_000_async_f3_s1_l20_at0.5_scrMDL.bif
7,000,async,5,10,20,0.7,MDL,14,0,35,1.0,0.2857142857142857,0.4444444444444445,0.015625,7d_000_async_f5_s10_l20_at0.7_scrMDL.bif
7,000,sync,1,5,10,0.5,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0,7d_000_sync_f1_s5_l10_at0.5_scrMDL.bif
7,000,async,3,5,100,0.7,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.0078125,7d_000_async_f3_s5_l100_at0.7_scrBDE.bif
7,000,sync,1,1,20,0.7,BDE,4,0,45,1.0,0.08163265306122448,0.15094339622641506,0.03125,7d_000_sync_f1_s1_l20_at0.7_scrBDE.bif
7,000,async,1,10,20,0.7,MDL,13,0,36,1.0,0.2653061224489796,0.41935483870967744,0.0390625,7d_000_async_f1_s10_l20_at0.7_scrMDL.bif
7,000,async,3,5,50,0.5,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.0234375,7d_000_async_f3_s5_l50_at0.5_scrMDL.bif
7,000,async,3,10,20,0.3,BDE,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.0234375,7d_000_async_f3_s10_l20_at0.3_scrBDE.bif
7,000,async,1,1,50,0.3,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.03125,7d_000_async_f1_s1_l50_at0.3_scrBDE.bif
7,000,async,3,5,50,0.7,BDE,12,0,37,1.0,0.24489795918367346,0.39344262295081966,0.0078125,7d_000_async_f3_s5_l50_at0.7_scrBDE.bif
7,000,async,1,10,20,0.5,BDE,12,0,37,1.0,0.24489795918367346,0.39344262295081966,0.0390625,7d_000_async_f1_s10_l20_at0.5_scrBDE.bif
7,000,sync,1,1,20,0.5,MDL,4,0,45,1.0,0.08163265306122448,0.15094339622641506,0.03125,7d_000_sync_f1_s1_l20_at0.5_scrMDL.bif
7,000,sync,1,5,10,0.7,BDE,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.0625,7d_000_sync_f1_s5_l10_at0.7_scrBDE.bif
7,000,async,1,5,100,0.3,MDL,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.0390625,7d_000_async_f1_s5_l100_at0.3_scrMDL.bif
7,000,async,5,10,20,0.5,BDE,13,0,36,1.0,0.2653061224489796,0.41935483870967744,0.0,7d_000_async_f5_s10_l20_at0.5_scrBDE.bif
7,000,async,1,5,20,0.3,BDE,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.03125,7d_000_async_f1_s5_l20_at0.3_scrBDE.bif
7,000,async,3,1,20,0.7,BDE,4,0,45,1.0,0.08163265306122448,0.15094339622641506,0.0546875,7d_000_async_f3_s1_l20_at0.7_scrBDE.bif
7,000,async,5,1,20,0.3,MDL,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.0546875,7d_000_async_f5_s1_l20_at0.3_scrMDL.bif
7,000,async,3,5,10,0.5,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.0546875,7d_000_async_f3_s5_l10_at0.5_scrMDL.bif
7,000,async,3,1,100,0.7,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0078125,7d_000_async_f3_s1_l100_at0.7_scrMDL.bif
7,000,async,1,10,10,0.5,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0546875,7d_000_async_f1_s10_l10_at0.5_scrMDL.bif
7,000,async,3,10,10,0.3,MDL,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.03125,7d_000_async_f3_s10_l10_at0.3_scrMDL.bif
7,000,async,3,1,50,0.5,BDE,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.015625,7d_000_async_f3_s1_l50_at0.5_scrBDE.bif
7,000,async,5,10,50,0.7,BDE,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.0703125,7d_000_async_f5_s10_l50_at0.7_scrBDE.bif
7,000,async,3,5,20,0.5,BDE,14,0,35,1.0,0.2857142857142857,0.4444444444444445,0.046875,7d_000_async_f3_s5_l20_at0.5_scrBDE.bif
7,000,async,5,10,10,0.5,MDL,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.0078125,7d_000_async_f5_s10_l10_at0.5_scrMDL.bif
7,000,async,5,1,10,0.3,BDE,0,0,49,0.0,0.0,0.0,0.0,7d_000_async_f5_s1_l10_at0.3_scrBDE.bif
7,000,async,1,5,10,0.3,MDL,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.015625,7d_000_async_f1_s5_l10_at0.3_scrMDL.bif
7,000,async,3,1,10,0.7,MDL,2,0,47,1.0,0.04081632653061224,0.07843137254901959,0.0546875,7d_000_async_f3_s1_l10_at0.7_scrMDL.bif
7,000,sync,3,10,10,0.7,BDE,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.03125,7d_000_sync_f3_s10_l10_at0.7_scrBDE.bif
7,000,sync,1,5,20,0.7,MDL,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.03125,7d_000_sync_f1_s5_l20_at0.7_scrMDL.bif
7,000,async,1,10,50,0.7,BDE,15,0,34,1.0,0.30612244897959184,0.46874999999999994,0.0546875,7d_000_async_f1_s10_l50_at0.7_scrBDE.bif
7,000,sync,1,1,10,0.5,BDE,4,0,45,1.0,0.08163265306122448,0.15094339622641506,0.03125,7d_000_sync_f1_s1_l10_at0.5_scrBDE.bif
7,000,async,1,10,100,0.7,BDE,19,0,30,1.0,0.3877551020408163,0.5588235294117647,0.0546875,7d_000_async_f1_s10_l100_at0.7_scrBDE.bif
7,000,async,5,5,50,0.7,BDE,13,0,36,1.0,0.2653061224489796,0.41935483870967744,0.015625,7d_000_async_f5_s5_l50_at0.7_scrBDE.bif
7,000,async,1,1,50,0.7,MDL,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.0546875,7d_000_async_f1_s1_l50_at0.7_scrMDL.bif
7,000,async,3,10,20,0.7,MDL,13,0,36,1.0,0.2653061224489796,0.41935483870967744,0.03125,7d_000_async_f3_s10_l20_at0.7_scrMDL.bif
7,000,async,5,5,10,0.5,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.0390625,7d_000_async_f5_s5_l10_at0.5_scrMDL.bif
7,000,async,1,1,10,0.5,BDE,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.046875,7d_000_async_f1_s1_l10_at0.5_scrBDE.bif
7,000,sync,1,10,20,0.5,BDE,13,0,36,1.0,0.2653061224489796,0.41935483870967744,0.0078125,7d_000_sync_f1_s10_l20_at0.5_scrBDE.bif
7,000,async,1,5,100,0.7,BDE,19,0,30,1.0,0.3877551020408163,0.5588235294117647,0.0546875,7d_000_async_f1_s5_l100_at0.7_scrBDE.bif
7,000,async,1,5,20,0.7,MDL,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.03125,7d_000_async_f1_s5_l20_at0.7_scrMDL.bif
7,000,async,3,1,20,0.3,MDL,2,0,47,1.0,0.04081632653061224,0.07843137254901959,0.0390625,7d_000_async_f3_s1_l20_at0.3_scrMDL.bif
7,000,async,5,1,20,0.7,BDE,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.015625,7d_000_async_f5_s1_l20_at0.7_scrBDE.bif
7,000,sync,1,5,10,0.3,MDL,7,0,42,1.0,0.14285714285714285,0.25,0.03125,7d_000_sync_f1_s5_l10_at0.3_scrMDL.bif
7,000,sync,3,1,10,0.7,MDL,1,0,48,1.0,0.02040816326530612,0.039999999999999994,0.046875,7d_000_sync_f3_s1_l10_at0.7_scrMDL.bif
7,000,async,1,5,50,0.5,MDL,13,0,36,1.0,0.2653061224489796,0.41935483870967744,0.0703125,7d_000_async_f1_s5_l50_at0.5_scrMDL.bif
7,000,async,3,10,10,0.7,BDE,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.0,7d_000_async_f3_s10_l10_at0.7_scrBDE.bif
7,000,async,1,1,100,0.5,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.0625,7d_000_async_f1_s1_l100_at0.5_scrBDE.bif
7,000,async,1,10,50,0.3,MDL,19,0,30,1.0,0.3877551020408163,0.5588235294117647,0.0234375,7d_000_async_f1_s10_l50_at0.3_scrMDL.bif
7,000,async,1,10,100,0.3,MDL,17,0,32,1.0,0.3469387755102041,0.5151515151515151,0.046875,7d_000_async_f1_s10_l100_at0.3_scrMDL.bif
7,000,async,5,1,10,0.7,MDL,0,0,49,0.0,0.0,0.0,0.0,7d_000_async_f5_s1_l10_at0.7_scrMDL.bif
7,000,async,3,10,50,0.5,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.015625,7d_000_async_f3_s10_l50_at0.5_scrMDL.bif
7,000,async,1,5,10,0.7,BDE,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.0546875,7d_000_async_f1_s5_l10_at0.7_scrBDE.bif
7,000,async,3,1,10,0.3,BDE,0,0,49,0.0,0.0,0.0,0.0,7d_000_async_f3_s1_l10_at0.3_scrBDE.bif
7,000,async,1,1,20,0.5,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.0703125,7d_000_async_f1_s1_l20_at0.5_scrMDL.bif
7,000,sync,1,10,10,0.5,MDL,12,0,37,1.0,0.24489795918367346,0.39344262295081966,0.015625,7d_000_sync_f1_s10_l10_at0.5_scrMDL.bif
7,000,async,5,5,20,0.5,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.0390625,7d_000_async_f5_s5_l20_at0.5_scrBDE.bif
7,000,sync,1,10,10,0.7,BDE,7,0,42,1.0,0.14285714285714285,0.25,0.046875,7d_000_sync_f1_s10_l10_at0.7_scrBDE.bif
7,000,async,3,5,20,0.3,BDE,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.0390625,7d_000_async_f3_s5_l20_at0.3_scrBDE.bif
7,000,async,1,1,20,0.7,BDE,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.046875,7d_000_async_f1_s1_l20_at0.7_scrBDE.bif
7,000,async,5,5,20,0.7,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.046875,7d_000_async_f5_s5_l20_at0.7_scrMDL.bif
7,000,async,5,1,10,0.5,BDE,0,0,49,0.0,0.0,0.0,0.0,7d_000_async_f5_s1_l10_at0.5_scrBDE.bif
7,000,async,1,5,10,0.5,MDL,7,0,42,1.0,0.14285714285714285,0.25,0.03125,7d_000_async_f1_s5_l10_at0.5_scrMDL.bif
7,000,async,3,10,50,0.7,BDE,18,0,31,1.0,0.3673469387755102,0.5373134328358209,0.015625,7d_000_async_f3_s10_l50_at0.7_scrBDE.bif
7,000,async,5,10,10,0.3,MDL,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.0390625,7d_000_async_f5_s10_l10_at0.3_scrMDL.bif
7,000,sync,3,5,10,0.7,BDE,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.03125,7d_000_sync_f3_s5_l10_at0.7_scrBDE.bif
7,000,sync,1,1,10,0.3,BDE,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.03125,7d_000_sync_f1_s1_l10_at0.3_scrBDE.bif
7,000,async,1,10,10,0.3,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.015625,7d_000_async_f1_s10_l10_at0.3_scrMDL.bif
7,000,async,1,1,100,0.7,MDL,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.03125,7d_000_async_f1_s1_l100_at0.7_scrMDL.bif
7,000,async,5,1,50,0.7,MDL,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.0234375,7d_000_async_f5_s1_l50_at0.7_scrMDL.bif
7,000,async,3,10,10,0.5,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0390625,7d_000_async_f3_s10_l10_at0.5_scrMDL.bif
7,000,async,1,5,50,0.7,BDE,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.0234375,7d_000_async_f1_s5_l50_at0.7_scrBDE.bif
7,000,async,1,5,20,0.5,BDE,9,0,40,1.0,0.1836734693877551,0.3103448275862069,0.03125,7d_000_async_f1_s5_l20_at0.5_scrBDE.bif
7,000,async,5,1,20,0.5,MDL,2,0,47,1.0,0.04081632653061224,0.07843137254901959,0.046875,7d_000_async_f5_s1_l20_at0.5_scrMDL.bif
7,000,async,1,5,100,0.5,MDL,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.03125,7d_000_async_f1_s5_l100_at0.5_scrMDL.bif
7,000,async,5,10,20,0.3,BDE,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.03125,7d_000_async_f5_s10_l20_at0.3_scrBDE.bif
7,000,async,5,5,10,0.7,BDE,6,0,43,1.0,0.12244897959183673,0.2181818181818182,0.03125,7d_000_async_f5_s5_l10_at0.7_scrBDE.bif
7,000,async,3,5,10,0.3,MDL,5,0,44,1.0,0.10204081632653061,0.1851851851851852,0.0390625,7d_000_async_f3_s5_l10_at0.3_scrMDL.bif
7,000,sync,1,10,20,0.7,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.0078125,7d_000_sync_f1_s10_l20_at0.7_scrMDL.bif
7,000,async,1,1,10,0.7,MDL,1,0,48,1.0,0.02040816326530612,0.039999999999999994,0.0390625,7d_000_async_f1_s1_l10_at0.7_scrMDL.bif
7,000,async,3,10,20,0.5,BDE,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.03125,7d_000_async_f3_s10_l20_at0.5_scrBDE.bif
7,000,async,1,1,50,0.5,BDE,7,0,42,1.0,0.14285714285714285,0.25,0.0234375,7d_000_async_f1_s1_l50_at0.5_scrBDE.bif
7,000,async,1,10,20,0.3,BDE,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.03125,7d_000_async_f1_s10_l20_at0.3_scrBDE.bif
7,000,sync,1,10,20,0.7,BDE,11,0,38,1.0,0.22448979591836735,0.36666666666666664,0.015625,7d_000_sync_f1_s10_l20_at0.7_scrBDE.bif
7,000,async,3,5,10,0.3,BDE,3,0,46,1.0,0.061224489795918366,0.11538461538461538,0.046875,7d_000_async_f3_s5_l10_at0.3_scrBDE.bif
7,000,async,1,1,10,0.7,BDE,1,0,48,1.0,0.02040816326530612,0.039999999999999994,0.0390625,7d_000_async_f1_s1_l10_at0.7_scrBDE.bif
7,000,async,5,5,10,0.7,MDL,7,0,42,1.0,0.14285714285714285,0.25,0.0234375,7d_000_async_f5_s5_l10_at0.7_scrMDL.bif
7,000,async,5,10,20,0.3,MDL,7,0,42,1.0,0.14285714285714285,0.25,0.0390625,7d_000_async_f5_s10_l20_at0.3_scrMDL.bif
7,000,async,1,5,100,0.5,BDE,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.03125,7d_000_async_f1_s5_l100_at0.5_scrBDE.bif
7,000,async,5,1,20,0.5,BDE,2,0,47,1.0,0.04081632653061224,0.07843137254901959,0.046875,7d_000_async_f5_s1_l20_at0.5_scrBDE.bif
7,000,async,1,5,20,0.5,MDL,10,0,39,1.0,0.20408163265306123,0.3389830508474576,0.03125,7d_000_async_f1_s5_l20_at0.5_scrMDL.bif
7,000,async,1,10,20,0.3,MDL,16,0,33,1.0,0.32653061224489793,0.4923076923076923,0.03125,7d_000_async_f1_s10_l20_at0.3_scrMDL.bif
7,000,async,1,1,50,0.5,MDL,8,0,41,1.0,0.16326530612244897,0.2807017543859649,0.0390625,7d_000_async_f1_s1_l50_at0.5_scrMDL.bif
